naics_code,earnings_seasonal_amplitude,peak_quarter_earnings,peak_excess_earnings,trough_quarter_earnings,trough_excess_earnings,n_earnings_excess_obs,earnings_seasonal_index,sector_2d,sector_label,idio_earnings_seasonal_amplitude,idio_peak_quarter_earnings,idio_peak_excess_earnings,idio_trough_quarter_earnings,idio_trough_excess_earnings,idio_n_earnings_excess_obs,idio_earnings_seasonal_index
519290,0.10517487669544878,4,0.0564665455654338,3,-0.048708331130014985,23,0.1898316260140621,51,Information,0.11299751773329023,1,0.07200258746411381,2,-0.04099493026917642,23,0.20278600060633759
332431,0.10513002789698737,1,0.05872408760163548,2,-0.046405940295351895,23,0.18975067778189672,33,Manufacturing - metals/machinery,0.17871805392382098,1,0.09004819374050455,4,-0.08866986018331643,23,0.32072845597281924
423420,0.10510853260932325,4,0.07105055569470634,3,-0.034057976914616914,23,0.1897118806324526,42,Wholesale trade,0.02822429770203127,3,0.014079878529438865,4,-0.014144419172592404,24,0.05065148833115797
518210,0.10509895982011493,1,0.05212911155138501,2,-0.05296984826872991,23,0.18969460256949686,51,Information,0.13999222003708342,1,0.08345321769025407,4,-0.05653900234682934,23,0.25123084990528965
541511,0.1049243201054853,4,0.06257010426225836,3,-0.042354215843226954,23,0.18937939287269093,54,Professional & technical services,0.057345405404017225,1,0.03472053479897684,4,-0.022624870605040384,23,0.10291239708891176
336413,0.10467748718539918,4,0.06409800742173517,3,-0.04057947976366401,23,0.18893388063587196,33,Manufacturing - metals/machinery,0.04822725615266601,1,0.02713028870710244,4,-0.021096967445563566,23,0.08654891356551715
322120,0.10385365754479617,1,0.05934002023202465,2,-0.044513637312771526,23,0.1874469388380974,32,Manufacturing - paper/chemicals,0.16968469834491384,1,0.09066412637089372,4,-0.07902057197402013,23,0.30451714366571847
713290,0.10384929136837764,4,0.06422784310623958,1,-0.03962144826213807,23,0.18743905826438023,71,"Arts, entertainment & recreation",0.053566479212096736,3,0.032599347451037576,4,-0.02096713176105916,24,0.09613071423057823
327120,0.10344664704933453,4,0.06653554508606623,3,-0.0369111019632683,23,0.1867123198246423,32,Manufacturing - paper/chemicals,0.029886183262019993,3,0.011226753480787478,4,-0.018659429781232514,24,0.05363391779452884
561990,0.10333223690026042,4,0.06501482020889598,1,-0.038317416691364424,23,0.18650581932458332,56,Administrative & waste services,0.04086356799293509,3,0.020683413334532337,4,-0.020180154658402755,24,0.07333399609141279
333914,0.10287514442860488,4,0.054849671964576345,3,-0.04802547246402853,23,0.18568080664228262,33,Manufacturing - metals/machinery,0.09832505615775233,1,0.06437247074009289,2,-0.03395258541765944,23,0.17645471597603002
424340,0.10287448019334483,4,0.06701896616874725,3,-0.03585551402459757,23,0.1856796077546449,42,Wholesale trade,0.05174861984750527,1,0.0291809102698155,2,-0.02256770957768977,23,0.09286837327296198
624310,0.10264778884609618,4,0.055838570029042855,1,-0.04680921881705332,23,0.18527044932818781,62,Health care & social assistance,0.061129657143016755,3,0.03177325230476087,4,-0.029356404838255884,24,0.10970363720491663
621420,0.10229507821859932,4,0.054879032333716965,1,-0.04741604588488236,23,0.1846338369162327,62,Health care & social assistance,0.06647770379471665,3,0.03616176126113488,4,-0.030315942533581774,24,0.11930127273983272
621610,0.10218982045618477,4,0.05573303402652543,1,-0.04645678642965934,23,0.18444385568860916,62,Health care & social assistance,0.0646145488292568,3,0.03515260798848349,4,-0.02946194084077331,24,0.11595764403422504
517121,0.10195082675533651,1,0.0628142261817444,2,-0.03913660057359212,23,0.1840124925697294,51,Information,0.16678401989598418,1,0.09413833232061346,4,-0.07264568757537072,23,0.2993115692999893
812111,0.10108347948281855,4,0.05241854375080397,1,-0.04866493573201458,23,0.18244700518116114,81,Other services,0.07371663239067583,3,0.040940201274181055,4,-0.03277643111649477,24,0.13229229597730105
311213,0.10105273347209627,4,0.05784897159017154,2,-0.04320376188192473,23,0.18239151127052167,31,Manufacturing - food/textiles,0.10185289095783417,3,0.06403962518140463,2,-0.037813265776429544,24,0.18278578876646967
485999,0.10102858905223913,4,0.0599915030526176,1,-0.04103708599962153,23,0.18234793266482557,48,Transportation,0.06521822634671143,3,0.040014754532030294,4,-0.02520347181468114,24,0.11704100720782616
444110,0.10098874535833376,1,0.05529078641551881,2,-0.04569795894281495,23,0.18227601821683087,44,Retail trade - general,0.17074923365665434,1,0.08661489255438787,4,-0.08413434110226649,23,0.3064275649094984
326160,0.1009681016420474,4,0.06942630564303266,1,-0.03154179599901474,23,0.18223875808063922,32,Manufacturing - paper/chemicals,0.04380397775132104,3,0.02803530852705496,4,-0.015768669224266077,24,0.07861087249549742
623220,0.1009392848867389,4,0.054408953409251164,1,-0.04653033147748774,23,0.18218674631044715,62,Health care & social assistance,0.06501513126812183,3,0.03422910981007425,4,-0.030786021458047576,24,0.11667653160202372
623210,0.10067115385790712,4,0.0519931934567018,1,-0.04867796040120532,23,0.18170279281520943,62,Health care & social assistance,0.07773055348232287,3,0.04452877207172593,4,-0.03320178141059694,24,0.13949570204543918
456130,0.10018142781475968,4,0.05832345498046007,1,-0.04185797283429961,23,0.18081887933707616,45,Retail trade - specialty,0.06450222215614088,3,0.03763070226930221,4,-0.02687151988683867,24,0.11575606193525931
327410,0.10007413326160064,4,0.04024000983651512,3,-0.05983412342508551,23,0.18062522187696226,32,Manufacturing - paper/chemicals,0.07474616193293346,2,0.02979119690214984,4,-0.04495496503078362,24,0.1341398956641656
811122,0.09959987163553799,2,0.03961637982336966,1,-0.05998349181216834,24,0.17976922034446471,81,Other services,0.09865237369762642,2,0.04500687592886484,4,-0.05364549776876158,24,0.17704212193123017
532112,0.09942163084346686,4,0.047995349861103154,3,-0.051426280982363716,23,0.17944751101193204,53,Real estate,0.11070250892153888,1,0.07350288391534329,4,-0.037199625006195586,23,0.19866736448381817
331110,0.09911849723986282,1,0.05040860050592063,2,-0.048709896733942194,23,0.17890038087325563,33,Manufacturing - metals/machinery,0.13426687021899142,1,0.08173270664478968,4,-0.05253416357420173,23,0.24095610391995329
541512,0.099111210474741,4,0.06589940205067267,3,-0.033211808424068325,23,0.17888722888758263,54,Professional & technical services,0.03422161983661352,3,0.014926047019987454,4,-0.01929557281662607,24,0.06141431741285825
114112,0.09888775479383763,4,0.050601083373024235,1,-0.0482866714208134,23,0.17848391056118423,11,"Agriculture, forestry, fishing",0.10270888863587549,3,0.06811499714160098,4,-0.034593891494274505,24,0.18432196716348564
322219,0.09878569338262595,4,0.059949945983659186,2,-0.038835747398966766,23,0.1782996984731615,32,Manufacturing - paper/chemicals,0.07403071776612882,1,0.04058546647265725,2,-0.03344525129347158,23,0.13285595541349668
812331,0.09877748118247212,4,0.05068128515687511,1,-0.04809619602559701,23,0.17828487615667932,81,Other services,0.09445725239360475,3,0.05994356268318113,4,-0.03451368971042363,24,0.1695135329111692
925110,0.09871628777745736,4,0.057851440511585035,1,-0.040864847265872334,23,0.17817442731242797,92,Public administration,0.05418058956515229,3,0.026837055209438583,4,-0.027343534355713704,24,0.09723280023144967
541715,0.09866621561528709,1,0.04491661467773795,3,-0.05374960093754914,23,0.17808405135705274,54,Professional & technical services,0.12344952975137546,1,0.07624072081660702,4,-0.04720880893476844,23,0.22154324198609623
561599,0.09863626603238194,1,0.04737896751377554,3,-0.05125729851860641,23,0.17802999493027138,56,Administrative & waste services,0.12673631594640908,1,0.07870307365264459,4,-0.04803324229376449,23,0.22744172755205505
621491,0.09863466169319937,4,0.047985580482875906,3,-0.050649081210323466,23,0.178027099235736,62,Health care & social assistance,0.10744296618229679,1,0.07023357179787396,4,-0.037209394384422834,23,0.19281777018160992
531130,0.09858963974590615,4,0.06741726627600854,3,-0.03117237346989761,23,0.17794583848478937,53,Real estate,0.03474319056544837,3,0.01696548197415817,4,-0.0177777085912902,24,0.06235033126745809
321219,0.0984923744993085,1,0.04469187677122089,2,-0.05380049772808762,23,0.17777028306227383,32,Manufacturing - paper/chemicals,0.12442598453268239,1,0.07601598291008996,2,-0.04841000162259244,23,0.2232955933991736
923110,0.09825688914085608,4,0.0561267002839372,1,-0.042130188856918875,23,0.17734525220032216,92,Public administration,0.05096734193464672,3,0.02189906735128518,4,-0.029068274583361538,24,0.09146628739984924
812113,0.09817190384840671,3,0.034218660656014484,1,-0.06395324319239223,24,0.177191861041142,81,Other services,0.1706079579471313,3,0.08235651610007026,4,-0.08825144184706103,24,0.3061740307019185
813219,0.09813204061948685,4,0.06063304156746723,1,-0.03749899905201962,23,0.17711991133412272,81,Other services,0.04549366922609348,3,0.02093173592626197,4,-0.024561933299831508,24,0.081643202614788
