naics_code,sector_2d,sector_label,n_states,n_state_industry_slots,mean_seasonal_index,mean_peak_excess,median_peak_excess,in_national_top_percentile,in_national_bottom_percentile,share_states
493130,49,Warehousing,5,5,0.8960829000221239,0.39780476854284746,0.3683875406862604,False,False,0.09803921568627451
711219,71,Arts/entertain,5,5,0.8755821139624012,0.35541902296030087,0.3523082350458111,False,False,0.09803921568627451
311421,31,Mfg-food,4,4,1.0,0.5187433833028247,0.47036484111764154,False,False,0.0784313725490196
711310,71,Arts/entertain,4,4,0.9941805611123365,0.39829861394511434,0.37364915889017103,False,False,0.0784313725490196
487110,48,Transportation,4,4,0.9878144711169733,0.48098401344987807,0.4902442210342026,False,False,0.0784313725490196
611620,61,Education,4,4,0.9693167231679818,0.44657434811337615,0.4328253076775531,False,False,0.0784313725490196
111920,11,Agriculture,4,4,0.9686641856025525,0.4019566783894758,0.4092098811675978,False,False,0.0784313725490196
711130,71,Arts/entertain,4,4,0.9006917083643913,0.3607430850236305,0.3733983583130934,False,False,0.0784313725490196
814110,81,Other services,4,4,0.8875987771642955,0.3753798936408641,0.3818939240241296,False,False,0.0784313725490196
541213,54,Prof services,3,3,1.0,0.531054667892031,0.5252324138558958,False,False,0.058823529411764705
487210,48,Transportation,3,3,1.0,0.5034973041636138,0.4728086378481503,False,False,0.058823529411764705
115112,11,Agriculture,3,3,0.9538091146662194,0.463099169885685,0.4865960569327991,False,False,0.058823529411764705
712190,71,Arts/entertain,3,3,0.9529832879053205,0.44882880155192834,0.4664628045074571,False,False,0.058823529411764705
512132,51,Information,3,3,0.9480210995019815,0.377698448387305,0.4082174424588162,True,False,0.058823529411764705
711110,71,Arts/entertain,3,3,0.9169915564928196,0.390891187164018,0.3728629242586397,False,False,0.058823529411764705
445230,44,Retail-gen,3,3,0.898279616769075,0.3378686385964927,0.2711893170008616,False,False,0.058823529411764705
111199,11,Agriculture,3,3,0.8973677160024881,0.3748951336610447,0.3642791568349628,True,False,0.058823529411764705
111339,11,Agriculture,3,3,0.8736277337074969,0.3380650066152115,0.3394683355058084,False,False,0.058823529411764705
115116,11,Agriculture,3,3,0.8544464090424965,0.3355607990939233,0.2758499318917773,False,False,0.058823529411764705
926140,92,Public admin,2,2,1.0,0.6107985003099293,0.6107985003099293,False,False,0.0392156862745098
712120,71,Arts/entertain,2,2,1.0,0.6058475744957923,0.6058475744957923,False,False,0.0392156862745098
114111,11,Agriculture,2,2,1.0,0.5916854678791743,0.5916854678791743,False,False,0.0392156862745098
111336,11,Agriculture,2,2,1.0,0.5915477236295552,0.5915477236295552,True,False,0.0392156862745098
111140,11,Agriculture,2,2,1.0,0.5859713698669811,0.5859713698669811,True,False,0.0392156862745098
111160,11,Agriculture,2,2,1.0,0.5729531698923633,0.5729531698923633,True,False,0.0392156862745098
541320,54,Prof services,2,2,1.0,0.5419073414334872,0.5419073414334872,False,False,0.0392156862745098
311313,31,Mfg-food,2,2,1.0,0.5404097333687261,0.5404097333687261,False,False,0.0392156862745098
813312,81,Other services,2,2,1.0,0.5382550084727151,0.5382550084727151,False,False,0.0392156862745098
111991,11,Agriculture,2,2,1.0,0.5284014663824694,0.5284014663824694,False,False,0.0392156862745098
921120,92,Public admin,2,2,1.0,0.5234667939960422,0.5234667939960422,False,False,0.0392156862745098
721310,72,Accommodation/food,2,2,1.0,0.513130914272035,0.513130914272035,False,False,0.0392156862745098
111110,11,Agriculture,2,2,1.0,0.5063286883329063,0.5063286883329063,False,False,0.0392156862745098
813110,81,Other services,2,2,1.0,0.4922705783435478,0.4922705783435478,False,False,0.0392156862745098
483114,48,Transportation,2,2,1.0,0.4884680523164943,0.4884680523164943,False,False,0.0392156862745098
113310,11,Agriculture,2,2,1.0,0.4525680100654378,0.4525680100654378,False,False,0.0392156862745098
561790,56,Admin/waste,2,2,1.0,0.44393745870646045,0.44393745870646045,False,False,0.0392156862745098
459999,45,Retail-spec,2,2,1.0,0.4067189274078442,0.4067189274078442,False,False,0.0392156862745098
722330,72,Accommodation/food,2,2,1.0,0.39926102442941847,0.39926102442941847,False,False,0.0392156862745098
541921,54,Prof services,2,2,1.0,0.35685681997224844,0.35685681997224844,False,False,0.0392156862745098
561520,56,Admin/waste,2,2,0.99495963761895,0.409579777993692,0.409579777993692,False,False,0.0392156862745098
423920,42,Wholesale,2,2,0.9885764134521557,0.34518513517482463,0.34518513517482463,False,False,0.0392156862745098
488320,48,Transportation,2,2,0.964639477900611,0.4055270443985593,0.4055270443985593,False,False,0.0392156862745098
711211,71,Arts/entertain,2,2,0.9405546495994657,0.4244074700194027,0.4244074700194027,False,False,0.0392156862745098
111992,11,Agriculture,2,2,0.912459657756992,0.32847177951021655,0.32847177951021655,False,False,0.0392156862745098
311710,31,Mfg-food,2,2,0.8835201742398113,0.3458684928018787,0.3458684928018787,False,False,0.0392156862745098
813410,81,Other services,2,2,0.8747709037496484,0.41045171432221317,0.41045171432221317,False,False,0.0392156862745098
445240,44,Retail-gen,2,2,0.8315080556611926,0.3283672941035837,0.3283672941035837,False,False,0.0392156862745098
541922,54,Prof services,2,2,0.8212683867796211,0.26897798176738114,0.26897798176738114,False,False,0.0392156862745098
561920,56,Admin/waste,2,2,0.816444630104872,0.23535906132796724,0.23535906132796724,False,False,0.0392156862745098
532281,53,Real estate,2,2,0.8014216205528172,0.2978644465862323,0.2978644465862323,False,False,0.0392156862745098
813920,81,Other services,1,1,1.0,0.6905170418832682,0.6905170418832682,False,False,0.0196078431372549
114112,11,Agriculture,1,1,1.0,0.6509060783542919,0.6509060783542919,False,False,0.0196078431372549
311941,31,Mfg-food,1,1,1.0,0.6395789062932442,0.6395789062932442,False,False,0.0196078431372549
441227,44,Retail-gen,1,1,1.0,0.6263560420553359,0.6263560420553359,False,False,0.0196078431372549
238110,23,Construction,1,1,1.0,0.6123439385462885,0.6123439385462885,False,False,0.0196078431372549
327320,32,Mfg-chem,1,1,1.0,0.5753875860360597,0.5753875860360597,False,False,0.0196078431372549
424990,42,Wholesale,1,1,1.0,0.5458685838015862,0.5458685838015862,False,False,0.0196078431372549
812220,81,Other services,1,1,1.0,0.5416303992608497,0.5416303992608497,False,False,0.0196078431372549
237990,23,Construction,1,1,1.0,0.532664092156294,0.532664092156294,False,False,0.0196078431372549
237110,23,Construction,1,1,1.0,0.5247464180387367,0.5247464180387367,False,False,0.0196078431372549
111940,11,Agriculture,1,1,1.0,0.5215903892043028,0.5215903892043028,False,False,0.0196078431372549
212321,21,Mining,1,1,1.0,0.5158100805081866,0.5158100805081866,False,False,0.0196078431372549
311411,31,Mfg-food,1,1,1.0,0.5078813474349674,0.5078813474349674,False,False,0.0196078431372549
237130,23,Construction,1,1,1.0,0.5020247419165306,0.5020247419165306,False,False,0.0196078431372549
722514,72,Accommodation/food,1,1,1.0,0.5017797695106643,0.5017797695106643,False,False,0.0196078431372549
921140,92,Public admin,1,1,1.0,0.4869362695250865,0.4869362695250865,False,False,0.0196078431372549
488490,48,Transportation,1,1,1.0,0.4767691836605723,0.4767691836605723,False,False,0.0196078431372549
721191,72,Accommodation/food,1,1,1.0,0.4704708504327768,0.4704708504327768,False,False,0.0196078431372549
212311,21,Mining,1,1,1.0,0.4638928678403048,0.4638928678403048,False,False,0.0196078431372549
112330,11,Agriculture,1,1,1.0,0.4637908182151034,0.4637908182151034,False,False,0.0196078431372549
311613,31,Mfg-food,1,1,1.0,0.4628070436290809,0.4628070436290809,False,False,0.0196078431372549
111335,11,Agriculture,1,1,1.0,0.4591309705587733,0.4591309705587733,False,False,0.0196078431372549
238160,23,Construction,1,1,1.0,0.4563243380384315,0.4563243380384315,False,False,0.0196078431372549
112910,11,Agriculture,1,1,1.0,0.4546859463775071,0.4546859463775071,False,False,0.0196078431372549
711510,71,Arts/entertain,1,1,1.0,0.4538398347517027,0.4538398347517027,False,False,0.0196078431372549
813940,81,Other services,1,1,1.0,0.4536800513990032,0.4536800513990032,False,False,0.0196078431372549
459420,45,Retail-spec,1,1,1.0,0.4498744535689767,0.4498744535689767,False,False,0.0196078431372549
445292,44,Retail-gen,1,1,1.0,0.4451322365666466,0.4451322365666466,False,False,0.0196078431372549
812930,81,Other services,1,1,1.0,0.4413597746669329,0.4413597746669329,False,False,0.0196078431372549
339999,33,Mfg-metals,1,1,1.0,0.4351875291219428,0.4351875291219428,False,False,0.0196078431372549
722320,72,Accommodation/food,1,1,1.0,0.4308750103387891,0.4308750103387891,False,False,0.0196078431372549
922160,92,Public admin,1,1,1.0,0.4262839774619996,0.4262839774619996,False,False,0.0196078431372549
424510,42,Wholesale,1,1,1.0,0.4246689298846424,0.4246689298846424,False,False,0.0196078431372549
445250,44,Retail-gen,1,1,1.0,0.4219641545573291,0.4219641545573291,False,False,0.0196078431372549
488310,48,Transportation,1,1,1.0,0.4150549906969512,0.4150549906969512,False,False,0.0196078431372549
113210,11,Agriculture,1,1,1.0,0.4125513398308831,0.4125513398308831,False,False,0.0196078431372549
114210,11,Agriculture,1,1,1.0,0.4058941129218463,0.4058941129218463,False,False,0.0196078431372549
711190,71,Arts/entertain,1,1,1.0,0.4050439265722664,0.4050439265722664,False,False,0.0196078431372549
712130,71,Arts/entertain,1,1,1.0,0.4019533287409332,0.4019533287409332,False,False,0.0196078431372549
711120,71,Arts/entertain,1,1,1.0,0.3690039910728928,0.3690039910728928,False,False,0.0196078431372549
483111,48,Transportation,1,1,1.0,0.3356727879936559,0.3356727879936559,False,False,0.0196078431372549
813930,81,Other services,1,1,0.9952062690224824,0.3528918085780677,0.3528918085780677,False,False,0.0196078431372549
525120,52,Finance,1,1,0.9627080623722856,0.4149089849162468,0.4149089849162468,False,False,0.0196078431372549
487990,48,Transportation,1,1,0.9592647427964568,0.3255506858540389,0.3255506858540389,False,False,0.0196078431372549
444240,44,Retail-gen,1,1,0.9352307962118196,0.3505688859939741,0.3505688859939741,False,False,0.0196078431372549
238390,23,Construction,1,1,0.8901726400501407,0.2393365362370656,0.2393365362370656,False,False,0.0196078431372549
924120,92,Public admin,1,1,0.8731556632151577,0.3406769120298009,0.3406769120298009,False,False,0.0196078431372549
812922,81,Other services,1,1,0.86991659288578,0.3469021691871591,0.3469021691871591,False,False,0.0196078431372549
541490,54,Prof services,1,1,0.8465151003048674,0.3117102040982574,0.3117102040982574,False,False,0.0196078431372549
512110,51,Information,1,1,0.8024831269032664,0.262936584914247,0.262936584914247,False,False,0.0196078431372549
611630,61,Education,1,1,0.8009363385699888,0.3039487183292736,0.3039487183292736,False,False,0.0196078431372549
621910,62,Healthcare,1,1,0.7913526868809697,0.2965478081928162,0.2965478081928162,False,False,0.0196078431372549
311520,31,Mfg-food,1,1,0.7904952306661086,0.306898148461236,0.306898148461236,False,False,0.0196078431372549
332722,33,Mfg-metals,1,1,0.7743059656711823,0.3247877331367576,0.3247877331367576,False,False,0.0196078431372549
532310,53,Real estate,1,1,0.7555121738754053,0.2596016538185418,0.2596016538185418,False,False,0.0196078431372549
111320,11,Agriculture,1,1,0.7308645076094452,0.2924785859134917,0.2924785859134917,False,False,0.0196078431372549
212290,21,Mining,1,1,0.7078768160155863,0.2236847326612443,0.2236847326612443,False,False,0.0196078431372549
624310,62,Healthcare,1,1,0.7060781456812396,0.306424320035358,0.306424320035358,False,False,0.0196078431372549
111310,11,Agriculture,1,1,0.6766275939471943,0.2780456896695307,0.2780456896695307,False,False,0.0196078431372549
