naics_code,sector_2d,sector_label,seasonal_index_early,peak_excess_early,peak_quarter_early,n_excess_obs_early,rank_early,seasonal_index_late,peak_excess_late,peak_quarter_late,n_excess_obs_late,rank_late,seasonal_index_delta,rank_delta,peak_quarter_changed
541219,54,Professional & technical services,0.15083931914836,0.04732503527059721,2,11,228.0,0.14268745763641583,0.03778851506210253,2,13,216.0,-0.008151861511944164,12.0,False
212230,21,"Mining, quarrying, oil & gas",0.044063463535086375,0.017464590930218137,1,10,642.0,0.036003763564498456,0.011999827701447082,3,13,718.0,-0.008059699970587919,-76.0,True
449210,44,Retail trade - general,0.04612784168536273,0.015186812849046518,4,10,626.0,0.03807957155324554,0.012732897635274886,4,12,687.0,-0.008048270132117188,-61.0,False
221320,22,Utilities,0.08827434914438888,0.03536862121514747,3,11,377.0,0.08024055083597162,0.02757114860764979,3,13,352.0,-0.008033798308417259,25.0,False
322230,32,Manufacturing - paper/chemicals,0.03879554518940642,0.014971186302773132,3,11,696.0,0.030811517702981735,0.011266865020931754,3,13,818.0,-0.007984027486424686,-122.0,False
621512,62,Health care & social assistance,0.04133537501070873,0.011688260768608733,4,10,668.0,0.03343362974540293,0.009607686988597722,4,12,766.0,-0.0079017452653058,-98.0,False
813212,81,Other services,0.09173071782736529,0.0379515472354224,3,11,364.0,0.08389076231351192,0.024951120729796137,3,13,339.0,-0.007839955513853372,25.0,False
561410,56,Administrative & waste services,0.09251904467553675,0.027193654574242238,4,10,357.0,0.08471366996095009,0.014939659458163113,2,13,334.0,-0.0078053747145866575,23.0,True
423220,42,Wholesale trade,0.02747904119434881,0.009981627163436861,4,10,833.0,0.01971842419698036,0.004581431702762867,3,13,954.0,-0.00776061699736845,-121.0,True
326122,32,Manufacturing - paper/chemicals,0.04497003082850714,0.01590031617691219,3,11,636.0,0.03725576827201449,0.012134568116102905,3,13,697.0,-0.00771426255649265,-61.0,False
311111,31,Manufacturing - food/textiles,0.03276303765766149,0.011467745219363664,4,10,772.0,0.025069247342884127,0.0062194086481846735,3,13,902.0,-0.007693790314777363,-130.0,True
561710,56,Administrative & waste services,0.10272187590490349,0.02518930404081876,4,10,325.0,0.0950822726447945,0.018763617216449372,4,12,307.0,-0.007639603260108985,18.0,False
332992,33,Manufacturing - metals/machinery,0.0419186814760778,0.013266081965219395,4,10,664.0,0.03428849337344336,0.006087346951835786,3,13,749.0,-0.007630188102634439,-85.0,True
541370,54,Professional & technical services,0.06739870695848722,0.017830219360521805,3,11,466.0,0.05982193438882209,0.013583873802887586,4,12,451.0,-0.00757677256966513,15.0,True
327390,32,Manufacturing - paper/chemicals,0.07204256725225953,0.0166451214145437,4,10,440.0,0.06448798971767775,0.01673969621276192,3,13,421.0,-0.007554577534581788,19.0,True
721120,72,Accommodation & food services,0.040529585968658015,0.015170043708074536,3,11,681.0,0.03299902040975917,0.005891595738463105,3,13,780.0,-0.007530565558898847,-99.0,False
423390,42,Wholesale trade,0.05394301607431213,0.014419957620481457,3,11,551.0,0.04668051488746181,0.00820574826284832,4,12,575.0,-0.0072625011868503175,-24.0,True
624230,62,Health care & social assistance,0.11343301840564421,0.0276460748157906,4,10,303.0,0.10619732427745324,0.03245071115713289,4,12,288.0,-0.007235694128190973,15.0,False
326160,32,Manufacturing - paper/chemicals,0.04364009772916415,0.017380424242267236,3,11,649.0,0.03645472289376763,0.010200596184379612,3,13,716.0,-0.007185374835396517,-67.0,False
562119,56,Administrative & waste services,0.1589768978388692,0.04813841331896285,4,10,221.0,0.151821605045815,0.04586798803596148,4,12,202.0,-0.007155292793054213,19.0,False
333111,33,Manufacturing - metals/machinery,0.042682486423547286,0.01056576208908295,3,11,656.0,0.03553224948535929,0.01310050101363078,3,13,729.0,-0.007150236938187997,-73.0,False
484110,48,Transportation,0.0968823522375244,0.030956150708967713,4,10,340.0,0.08983913069530614,0.027312806056700476,4,12,320.0,-0.007043221542218259,20.0,False
621410,62,Health care & social assistance,0.05031075948302807,0.016663414846285862,3,11,589.0,0.04331389462908945,0.011593953685272928,3,13,611.0,-0.00699686485393862,-22.0,False
423430,42,Wholesale trade,0.05635936391457638,0.020078411430515197,4,10,531.0,0.049397855767569054,0.014545759112180574,4,12,541.0,-0.006961508147007328,-10.0,False
332321,33,Manufacturing - metals/machinery,0.05118819478534015,0.019320828116762147,3,11,577.0,0.04427727596112132,0.015834593034320582,3,13,595.0,-0.006910918824218834,-18.0,False
423840,42,Wholesale trade,0.027760971528816313,0.00692112262639346,4,10,831.0,0.020885192935372394,0.004194323048735112,3,13,946.0,-0.006875778593443918,-115.0,True
423440,42,Wholesale trade,0.034340929195593776,0.008052816588171476,4,10,748.0,0.027555124177449732,0.005037620383334584,3,13,860.0,-0.006785805018144044,-112.0,True
339115,33,Manufacturing - metals/machinery,0.03819778245028964,0.01343477257185024,3,11,704.0,0.03146435200303673,0.007238108305738365,4,12,802.0,-0.006733430447252907,-98.0,True
325613,32,Manufacturing - paper/chemicals,0.01636888008181189,0.005227403844566126,3,11,936.0,0.009644899970472019,0.001861248461396913,4,12,991.0,-0.0067239801113398705,-55.0,True
339910,33,Manufacturing - metals/machinery,0.03022201105304236,0.011593532681937024,4,10,803.0,0.023537628114898117,0.005158907809145972,1,12,917.0,-0.006684382938144242,-114.0,True
449122,44,Retail trade - general,0.056774550078418445,0.02048803676295503,4,10,528.0,0.05010871448985357,0.01701717456398431,4,12,522.0,-0.006665835588564872,6.0,False
519210,51,Information,0.08947932962911874,0.03878161243377714,3,11,372.0,0.08285452029165721,0.03054981506560917,3,13,343.0,-0.006624809337461526,29.0,False
211130,21,"Mining, quarrying, oil & gas",0.02654705461217217,0.005711569083624492,3,11,842.0,0.01996419356099376,0.0045421870824116795,3,13,950.0,-0.006582861051178411,-108.0,False
561110,56,Administrative & waste services,0.0810271828297298,0.022922232441940936,4,10,399.0,0.07446223765865088,0.01935838362094962,4,12,378.0,-0.0065649451710789175,21.0,False
325412,32,Manufacturing - paper/chemicals,0.016042591250966708,0.004204784394074925,3,11,942.0,0.00974940266244077,0.002544028554371478,3,13,990.0,-0.006293188588525938,-48.0,False
327992,32,Manufacturing - paper/chemicals,0.03158891509087923,0.01108686974046799,3,11,788.0,0.025305242699221964,0.007700890937475944,3,13,899.0,-0.006283672391657266,-111.0,False
311612,31,Manufacturing - food/textiles,0.0282967554906808,0.009130675618570595,3,11,824.0,0.022015258256391113,0.006128429564685202,3,13,934.0,-0.006281497234289689,-110.0,False
221115,22,Utilities,0.06332504829080671,0.016134599467562932,4,10,481.0,0.05709805186644459,0.013752388530148117,4,12,469.0,-0.00622699642436212,12.0,False
488190,48,Transportation,0.047650205758965836,0.01018749295986668,4,10,616.0,0.04143615942340807,0.009842794991574947,2,13,640.0,-0.006214046335557763,-24.0,True
517121,51,Information,0.01925299227927258,0.00606673857635826,4,10,916.0,0.01307725415755869,0.0042701838800313485,3,13,980.0,-0.006175738121713891,-64.0,True
712110,71,"Arts, entertainment & recreation",0.16478492939014502,0.061433860070361494,3,11,207.0,0.15864082022464393,0.053593135787459105,3,13,195.0,-0.006144109165501094,12.0,False
339114,33,Manufacturing - metals/machinery,0.021111118510846988,0.004955010704873953,3,11,898.0,0.015016332393591802,0.005248009122268249,3,13,976.0,-0.006094786117255186,-78.0,False
561450,56,Administrative & waste services,0.029238870620868333,0.007159010086124501,3,11,813.0,0.023391992925100143,0.005157629210010613,4,12,920.0,-0.00584687769576819,-107.0,True
111998,11,"Agriculture, forestry, fishing",1.0,0.4152136073966926,4,7,1.0,0.9941694301741971,0.27034960343231546,4,12,11.0,-0.005830569825802878,-10.0,False
334220,33,Manufacturing - metals/machinery,0.032269316635582294,0.009354195747408955,3,11,780.0,0.026584553006306726,0.00736268705576224,3,13,879.0,-0.005684763629275568,-99.0,False
813312,81,Other services,0.270218852813712,0.10615144532268221,3,11,119.0,0.2645449953920668,0.09677765095516025,3,13,116.0,-0.005673857421645223,3.0,False
311211,31,Manufacturing - food/textiles,0.04746089421992938,0.01379752993047837,3,11,618.0,0.041816419551576334,0.015008826752248084,3,13,631.0,-0.005644474668353043,-13.0,False
311812,31,Manufacturing - food/textiles,0.052119864111458414,0.013484686666851629,4,10,571.0,0.04649628285033658,0.00888041572160703,3,13,576.0,-0.005623581261121835,-5.0,True
424120,42,Wholesale trade,0.044818531352495396,0.012742699752483462,3,11,638.0,0.03922170717441306,0.012533800609689894,3,13,667.0,-0.005596824178082334,-29.0,False
923140,92,Public administration,0.04443659178884913,0.016556501029871343,3,11,641.0,0.038891417205576706,0.006949548967595719,4,12,673.0,-0.005545174583272423,-32.0,True
424210,42,Wholesale trade,0.07081455725066949,0.026960994602567224,4,10,449.0,0.06529276373755354,0.0223160580140085,4,12,417.0,-0.00552179351311595,32.0,False
311811,31,Manufacturing - food/textiles,0.08376060913314363,0.018706143451178433,3,11,391.0,0.0783100274307759,0.027528088072877883,3,13,363.0,-0.005450581702367729,28.0,False
327991,32,Manufacturing - paper/chemicals,0.05191654998835418,0.014326092760080048,4,10,572.0,0.04649213365466227,0.010788636990676486,3,13,577.0,-0.005424416333691916,-5.0,True
541715,54,Professional & technical services,0.062269610461815776,0.024776841614825355,3,11,490.0,0.05684828328390333,0.020490119363423383,3,13,473.0,-0.005421327177912445,17.0,False
332323,33,Manufacturing - metals/machinery,0.04916559307527311,0.01401409068607294,3,11,595.0,0.043775081721687106,0.014730236618417703,3,13,605.0,-0.005390511353586001,-10.0,False
333131,33,Manufacturing - metals/machinery,0.029782139292665342,0.011374856714153005,3,11,805.0,0.024462114443435354,0.005638127979310649,3,13,905.0,-0.005320024849229988,-100.0,False
311513,31,Manufacturing - food/textiles,0.046102323445428,0.01618172402233342,3,11,627.0,0.040785247516884664,0.011649178574527094,3,13,651.0,-0.005317075928543337,-24.0,False
313230,31,Manufacturing - food/textiles,0.038207683256925445,0.010733385584572066,3,11,703.0,0.032943444246092954,0.007455939702519727,2,13,781.0,-0.005264239010832492,-78.0,True
424440,42,Wholesale trade,0.03063258992408155,0.010341006662967583,3,11,799.0,0.0254162606774897,0.007293833161427021,3,13,896.0,-0.00521632924659185,-97.0,False
561720,56,Administrative & waste services,0.06875194403750581,0.013859032409823615,3,11,460.0,0.06354179169359861,0.01521611534203733,3,13,426.0,-0.005210152343907204,34.0,False
333994,33,Manufacturing - metals/machinery,0.02879502239778905,0.009032864286396864,3,11,817.0,0.023683876605662207,0.005205706596598653,3,13,913.0,-0.005111145792126844,-96.0,False
321911,32,Manufacturing - paper/chemicals,0.05418902097825073,0.02087969411448556,3,11,550.0,0.049115546199329535,0.014742562374013512,3,13,548.0,-0.005073474778921193,2.0,False
445291,44,Retail trade - general,0.08921186337703468,0.0225501030607852,4,10,373.0,0.08435944646655405,0.022864563078278808,3,13,337.0,-0.004852416910480634,36.0,True
482111,48,Transportation,0.1943339689180349,0.04373880730172947,2,11,177.0,0.18952378549625395,0.04660892528079435,1,12,163.0,-0.004810183421780939,14.0,True
541611,54,Professional & technical services,0.14275397504671422,0.04985320163970826,4,10,247.0,0.1379908389926386,0.042538217089937436,4,12,222.0,-0.004763136054075634,25.0,False
423990,42,Wholesale trade,0.0699123388319418,0.020638304135939537,4,10,452.0,0.06515629991662349,0.017828653576007058,4,12,418.0,-0.004756038915318311,34.0,False
333415,33,Manufacturing - metals/machinery,0.05427736105134737,0.020066566238383824,3,11,549.0,0.049814187928615646,0.0164462260615146,3,13,529.0,-0.0044631731227317215,20.0,False
813319,81,Other services,0.14982723128701655,0.04827277698415647,3,11,230.0,0.14536659273365915,0.03961773952434036,3,13,211.0,-0.0044606385533574044,19.0,False
522130,52,Finance & insurance,0.03023798224010725,0.011205343148927654,3,11,802.0,0.025796196273318032,0.007783752203035861,3,13,890.0,-0.004441785966789218,-88.0,False
424130,42,Wholesale trade,0.032076815481871815,0.008620599599067975,3,11,782.0,0.027665994225575804,0.006293410729971089,3,13,856.0,-0.004410821256296011,-74.0,False
423850,42,Wholesale trade,0.0331273158161966,0.007534723974250472,4,10,769.0,0.029108100198029594,0.0062649689436396335,3,13,837.0,-0.004019215618167007,-68.0,True
112210,11,"Agriculture, forestry, fishing",0.07768278989621089,0.01996340666238622,3,11,413.0,0.07377675411559913,0.015529694643793746,4,12,385.0,-0.003906035780611758,28.0,True
