state_name,sector_label,excessQ4
Kansas,Arts/entertain,-0.005517377198487131
Kansas,Construction,0.0560938461050391
Kansas,Education,-0.005335420762929342
Kansas,Finance,0.018217182241447433
Kansas,Healthcare,0.010354750009875862
Kansas,Information,0.004432148485749342
Kansas,Management,0.01894327500656355
Kansas,Mfg-chem,-0.011063886105438923
Kansas,Mfg-food,0.018447567144314808
Kansas,Mfg-metals,-0.005775489219835292
Kansas,Mining,0.004286778485490038
Kansas,Other services,0.014633101038580426
Kansas,Prof services,0.029934523960143757
Kansas,Public admin,-0.005273751005986292
Kansas,Real estate,0.02637266495593929
Kansas,Retail-gen,0.018452022571458348
Kansas,Retail-spec,0.0071456210426600365
Kansas,Transportation,0.0036911998428826452
Kansas,Utilities,0.0043701414544883846
Kansas,Warehousing,0.023035387854107216
Kansas,Wholesale,0.005760453072059165
Kentucky,Accommodation/food,0.08505452623120192
Kentucky,Admin/waste,0.028020836007649236
Kentucky,Agriculture,0.07174984952445229
Kentucky,Arts/entertain,0.10720304038856276
Kentucky,Construction,0.07423163130770813
Kentucky,Education,0.017137079447345778
Kentucky,Finance,0.018802414245111167
Kentucky,Healthcare,0.005583002492374274
Kentucky,Information,0.006814497287444071
Kentucky,Management,0.014812511050033055
Kentucky,Mfg-chem,-0.0025177846148261274
Kentucky,Mfg-food,-0.0014122776147724406
Kentucky,Mfg-metals,-0.0032755216035198096
Kentucky,Mining,0.007080435628097384
Kentucky,Other services,0.013790718184770833
Kentucky,Prof services,0.03177160913997485
Kentucky,Public admin,-0.0038694787596231387
Kentucky,Real estate,0.020285422502552348
Kentucky,Retail-gen,0.022238712853646394
Kentucky,Retail-spec,0.007750774585715555
Kentucky,Transportation,0.02424803462015471
Kentucky,Utilities,0.000356346343660332
Kentucky,Warehousing,0.0029817616820410377
Kentucky,Wholesale,0.003446975543721993
Louisiana,Accommodation/food,0.009651271192667175
Louisiana,Admin/waste,0.01842073235667301
Louisiana,Agriculture,0.06305532515505825
Louisiana,Arts/entertain,-0.006485480196799423
Louisiana,Construction,0.02735019727676043
Louisiana,Education,-0.00687440640632483
Louisiana,Finance,0.02276062056089554
Louisiana,Healthcare,-0.0020510302418512718
Louisiana,Information,0.004761966976107822
Louisiana,Management,0.03631135568799879
Louisiana,Mfg-chem,-0.001883562633191507
Louisiana,Mfg-food,0.022516955993184613
Louisiana,Mfg-metals,-0.003552772093558671
Louisiana,Mining,-0.0023268788112123344
Louisiana,Other services,0.01726536646597316
Louisiana,Prof services,0.022377941597660392
Louisiana,Public admin,-0.01595178175839099
Louisiana,Real estate,0.016077197941349618
Louisiana,Retail-gen,0.0059608898459919705
Louisiana,Retail-spec,0.00648327305637972
Louisiana,Transportation,0.007850203758019538
Louisiana,Utilities,-0.002250851861481748
Louisiana,Warehousing,0.07037724517921257
Louisiana,Wholesale,0.004943712468610857
Maine,Accommodation/food,0.10292528148133667
Maine,Admin/waste,0.057118753040898515
Maine,Agriculture,0.12001427003617096
Maine,Arts/entertain,0.08790200919511158
Maine,Construction,0.11773721165273245
Maine,Education,0.0038579473433058395
Maine,Finance,0.013231091184494366
Maine,Healthcare,0.006342941971109182
Maine,Information,0.007732794387545953
Maine,Management,0.030737038866284105
Maine,Mfg-chem,0.047141040054278674
Maine,Mfg-food,0.007849533799951462
Maine,Mfg-metals,0.007868354743438864
Maine,Mining,0.3171254152939124
Maine,Other services,0.026548143241689682
Maine,Prof services,0.04681871402300714
Maine,Public admin,0.0043432787133440955
Maine,Real estate,0.05379861284134713
Maine,Retail-gen,0.04877222354361873
Maine,Retail-spec,0.05567138101226964
Maine,Transportation,0.06406443219866896
Maine,Utilities,0.02380000306123938
Maine,Warehousing,0.03075608650349444
Maine,Wholesale,0.031255220644688025
Maryland,Accommodation/food,0.07086777850195979
Maryland,Admin/waste,0.03202222338478689
Maryland,Agriculture,0.11609095378646518
Maryland,Arts/entertain,0.07464651314754414
Maryland,Construction,0.034921562389694974
Maryland,Education,-0.01601166983118025
Maryland,Finance,0.023788133119248097
Maryland,Healthcare,0.003330173436856451
Maryland,Information,0.02147210424157954
Maryland,Management,0.008199325131905638
Maryland,Mfg-chem,0.00486311448278394
Maryland,Mfg-food,0.018018940244418608
Maryland,Mfg-metals,0.00024569417647106755
Maryland,Mining,0.04144779922570874
Maryland,Other services,0.011330179846036976
Maryland,Prof services,0.03225861089369168
Maryland,Public admin,-0.0011775942590954995
Maryland,Real estate,0.03628263863063224
Maryland,Retail-gen,0.028670658580806613
Maryland,Retail-spec,0.014442134440899883
Maryland,Transportation,0.06717809606711093
Maryland,Utilities,0.0025581044744191384
Maryland,Warehousing,0.03818772902306715
Maryland,Wholesale,0.02166746863580532
Massachusetts,Accommodation/food,0.11323512963823894
Massachusetts,Admin/waste,0.035357165566469194
Massachusetts,Agriculture,0.19417361704569494
Massachusetts,Arts/entertain,0.09512557116855451
Massachusetts,Construction,0.09444247606851064
Massachusetts,Education,-0.03527175368453379
Massachusetts,Finance,0.0036448149019121124
