state_name,sector_label,peak_excess
Colorado,Construction,0.05755250178346258
Colorado,Education,0.10343968845200899
Colorado,Finance,0.026473490160153382
Colorado,Healthcare,0.029209402584006804
Colorado,Information,0.036391623986539605
Colorado,Management,0.022737696241375654
Colorado,Mfg-chem,0.038427711791286116
Colorado,Mfg-food,0.049392449855393206
Colorado,Mfg-metals,0.026154917551432913
Colorado,Mining,0.05506594458599094
Colorado,Other services,0.0450451110778736
Colorado,Prof services,0.04450490301865883
Colorado,Public admin,0.07627441536244604
Colorado,Real estate,0.05138285658424424
Colorado,Retail-gen,0.04566400464943965
Colorado,Retail-spec,0.04742494223511506
Colorado,Transportation,0.057790518332107445
Colorado,Utilities,0.015443714190928923
Colorado,Warehousing,0.02375196500487876
Colorado,Wholesale,0.019910110759106404
Connecticut,Accommodation/food,0.09344278893151424
Connecticut,Admin/waste,0.062239526354342954
Connecticut,Agriculture,0.17597946195092737
Connecticut,Arts/entertain,0.20641294239420535
Connecticut,Construction,0.11806040358977833
Connecticut,Education,0.1447959278901187
Connecticut,Finance,0.020427235421199768
Connecticut,Healthcare,0.02379562418775856
Connecticut,Information,0.029485530106206824
Connecticut,Management,0.023724149632902237
Connecticut,Mfg-chem,0.03130407366166025
Connecticut,Mfg-food,0.047649984749098595
Connecticut,Mfg-metals,0.017464410139350222
Connecticut,Mining,0.14449171866896363
Connecticut,Other services,0.07054818390427561
Connecticut,Prof services,0.045915284173773954
Connecticut,Public admin,0.1073739495264039
Connecticut,Real estate,0.04143272694358706
Connecticut,Retail-gen,0.05131632856747863
Connecticut,Retail-spec,0.05122544791378706
Connecticut,Transportation,0.05309783374369892
Connecticut,Utilities,0.03645106181682536
Connecticut,Warehousing,0.044015732062938046
Connecticut,Wholesale,0.01893058272052659
DC,Accommodation/food,0.05445966043401726
DC,Admin/waste,0.0687510913013444
DC,Arts/entertain,0.10259786089720264
DC,Construction,0.06874744442476957
DC,Education,0.14839155285038716
DC,Finance,0.020550313041687317
DC,Healthcare,0.0330637010087307
DC,Information,0.037079320688877586
DC,Management,0.02345702250294223
DC,Mfg-chem,0.019165915225655177
DC,Mfg-food,0.040193859269010625
DC,Mfg-metals,0.07911091960810956
DC,Other services,0.04506083341910668
DC,Prof services,0.049484199372346924
DC,Public admin,0.038182910496031015
DC,Real estate,0.06230824571699144
DC,Retail-gen,0.04789177769067282
DC,Retail-spec,0.03800253373524052
DC,Transportation,0.05975848257484067
DC,Utilities,0.03359977909443915
DC,Warehousing,0.06534022925970591
DC,Wholesale,0.044822424332005034
Delaware,Accommodation/food,0.13264353374047524
Delaware,Admin/waste,0.06942507706331147
Delaware,Agriculture,0.1186722690713677
Delaware,Arts/entertain,0.15544307661383897
Delaware,Construction,0.049257023644542076
Delaware,Education,0.08281738539910796
Delaware,Finance,0.022169328427232668
Delaware,Healthcare,0.03522406736793058
Delaware,Information,0.05440083075662909
Delaware,Management,0.032166626577357346
Delaware,Mfg-chem,0.023152174484230157
Delaware,Mfg-food,0.08550334660678817
Delaware,Mfg-metals,0.03455375239965533
Delaware,Mining,
Delaware,Other services,0.06869283141965897
Delaware,Prof services,0.05265801279398001
Delaware,Public admin,0.06779810643737717
Delaware,Real estate,0.06735510078762454
Delaware,Retail-gen,0.071520035909762
Delaware,Retail-spec,0.05512862961760449
Delaware,Transportation,0.043846202250386886
Delaware,Utilities,0.01475177219378474
Delaware,Warehousing,0.050213660006220406
Delaware,Wholesale,0.03266861639539408
Florida,Accommodation/food,0.09607551700361582
Florida,Admin/waste,0.03204194513529829
Florida,Agriculture,0.11791522321184174
Florida,Arts/entertain,0.10023878098972179
Florida,Construction,0.026132625455973835
Florida,Education,0.06616976513779746
Florida,Finance,0.030323596634669332
Florida,Healthcare,0.01947692897782576
Florida,Information,0.0431387339262173
Florida,Management,0.023293523831806193
Florida,Mfg-chem,0.019630783102123826
Florida,Mfg-food,0.03059803054010343
Florida,Mfg-metals,0.01940076918345822
Florida,Mining,0.030528657235831626
Florida,Other services,0.03412026363100715
Florida,Prof services,0.04506402406401709
Florida,Public admin,0.027402269038760065
Florida,Real estate,0.040749414911221214
Florida,Retail-gen,0.02794584572202649
Florida,Retail-spec,0.034452760410014334
Florida,Transportation,0.029849362790000656
Florida,Utilities,0.01678588507695645
Florida,Warehousing,0.04021787996312726
Florida,Wholesale,0.02310257466838406
Georgia,Accommodation/food,0.07000963719721869
Georgia,Admin/waste,0.030661587107983678
Georgia,Agriculture,0.13180687390551019
Georgia,Arts/entertain,0.1415770875234804
Georgia,Construction,0.02661372611066397
